i r a_hi a_lo residual_center
0 0.96969696969696972388419453636743128299713134765625 4.43941193516366183757781982421875e-2 6.816779234492494404354499076468976051339232480330565522308461368083953857e-12 2.77555756156289135105907917022705078125e-17
1 0.91428571428571425716569365249597467482089996337890625 0.1292830169550143182277679443359375 -1.004781786729398852160020447834374982855332181230778587632812559604644775e-11 -3.12250225675825276994146406650543212890625e-17
2 0.8648648648648649128745091729797422885894775390625 0.209453365649096667766571044921875 -2.01469659944294614628959526272746513413103297551742798532359302043914795e-11 5.5511151231257827021181583404541015625e-17
3 0.8205128205128204843532557788421399891376495361328125 0.285402218811213970184326171875 5.103442171976455048667810036036238379580920465627968951594084501266479492e-11 -3.4694469519536141888238489627838134765625e-17
4 0.7804878048780488075664152347599156200885772705078125 0.357552004628814756870269775390625 -1.073111375783758926131198087772317616671313711407265145680867135524749756e-11 3.4694469519536141888238489627838134765625e-17
5 0.744186046511627896649088143021799623966217041015625 0.42626475472934544086456298828125 -2.724748195900569793932485132437762648596746295481807464966550469398498535e-11 -1.387778780781445675529539585113525390625e-17
6 0.71111111111111113824989615750382654368877410888671875 0.49185309628956019878387451171875 4.01144569350297694446347285765778947069781779077857208903878927230834961e-11 3.81639164714897560770623385906219482421875e-17
7 0.68085106382978721750731665451894514262676239013671875 0.55458885175175964832305908203125 -7.412224111477094122369484231770998816646311979638994671404361724853515625e-11 -2.42861286636752993217669427394866943359375e-17
8 0.65306122448979586625483761963550932705402374267578125 0.61470984411425888538360595703125 9.49444623472658341210561063988753073691548300949705208040541037917137146e-13 -7.97972798949331263429485261440277099609375e-17
9 0.627450980392156854037466473528183996677398681640625 0.67242534202523529529571533203125 -5.373968556649472564643434793410633684707100599098339444026350975036621094e-11 -1.387778780781445675529539585113525390625e-17
10 0.60377358490566035431612590400618501007556915283203125 0.7279204544611275196075439453125 1.020717147321271139452341247996476712028846023372352647129446268081665039e-10 -3.81639164714897560770623385906219482421875e-17
11 0.5818181818181817899215957368141971528530120849609375 0.7813597135245800018310546875 7.967231358255966396039630345410498511195523246852800980377651285380125046e-14 -4.8572257327350598643533885478973388671875e-17
12 0.5614035087719297933972484315745532512664794921875 0.832890014164149761199951171875 5.91994132969790329719202608780931489681868817864796028516138903796672821e-13 -5.5511151231257827021181583404541015625e-17
13 0.54237288135593220150809656843193806707859039306640625 0.88264304935000836849212646484375 1.183289532063437935263745043445174831217570066144162410637363791465759277e-11 -3.4694469519536141888238489627838134765625e-18
14 0.52459016393442625680876290061860345304012298583984375 0.9307373375631868839263916015625 -3.006825344980617317666205156311325585264532245233226603886578232049942017e-13 5.20417042793042128323577344417572021484375e-17
15 0.5079365079365079083117961999960243701934814453125 0.9772799233905971050262451171875 1.093194454088646878456755301961122062853748460042879742104560136795043945e-10 -5.5511151231257827021181583404541015625e-17
